,text,emotion_label,stress_label
8176,hari ini biasa aja seperti biasanya banget pas perjalanan sama keluarga,neutral,0.38
8177,kehilangan semangat buat ngapa ngapain serius di kantor sama dia,sad,0.76
8178,deg degan nunggu hasil pengumuman pas perjalanan sendiri,anxious,0.71
8179,takut gagal di presentasi besok dan kepikiran terus di kampus sama dia,anxious,0.73
8180,udah sabar tapi masih dibohongin hari ini,angry,0.72
8181,capek ngadepin orang yang egois hari ini pas perjalanan sama dia,angry,0.72
8182,hari ini berat banget dijalanin tapi yaudahlah tadi pagi sama temen kantor,sad,0.63
8183,malam ini kepikiran terus jadi sedih serius,sad,0.65
8184,marah banget karena kerjaan berantakan hari ini pas perjalanan sendiri,angry,0.9
8185,akhirnya tugas selesai juga lega banget agak random sih di kantor,happy,0.07
8186,tadi pagi pergi sebentar ke minimarket banget asli di kampus sama dia,neutral,0.24
8187,hari ini ga ada hal spesial wkwk pas perjalanan,neutral,0.42
8188,anxious banget sebelum meeting tadi sumpah waktu malam sama temen kantor,anxious,0.95
8189,akhirnya tugas selesai juga lega banget dan kepikiran terus tadi pagi sama keluarga,happy,0.19
8190,hari ini biasa aja seperti biasanya tapi yaudahlah sama dia,neutral,0.34
8191,udah sabar tapi masih dibohongin dari tadi kepikiran tadi pagi sama dia,angry,0.67
8192,rasanya sedih banget akhir akhir ini dari tadi kepikiran waktu malam sama temen kantor,sad,0.6
8193,akhir minggu ini seru banget sih di rumah sama dia,happy,0.27
8194,tadi pagi pergi sebentar ke minimarket hari ini pas perjalanan,neutral,0.37
8195,rasanya gugup terus hari ini agak random sih di kampus sama dia,anxious,0.78
8196,baru selesai makan siang tadi agak random sih bareng temen,neutral,0.25
8197,rasanya pengen marah terus tapi yaudahlah waktu malam sama temen kantor,angry,0.92
8198,akhirnya lolos interview kerja sih bareng temen sama keluarga,happy,0.29
8199,makasih ya udah bikin hariku lebih baik banget,happy,0.12
8200,akhir minggu ini seru banget hari ini waktu malam,happy,0.29
8201,orang itu bikin emosi banget sumpah di kampus sama temen kantor,angry,0.86
8202,akhir minggu ini seru banget agak random sih pas perjalanan,happy,0.25
8203,lagi duduk sambil denger musik dari tadi kepikiran sama keluarga,neutral,0.41
8204,kesel banget sama orang yang ga tepat waktu dan kepikiran terus di kampus,angry,0.74
8205,capek sama keadaan sekarang dari tadi kepikiran waktu malam sama temen kantor,sad,0.57
8206,kehilangan semangat buat ngapa ngapain wkwk,sad,0.76
8207,rasanya gugup terus hari ini serius di rumah,anxious,0.8
8208,capek sama keadaan sekarang bareng temen sama keluarga,sad,0.66
8209,aku cuma pengen istirahat sebentar di kampus,sad,0.77
8210,akhir akhir ini overthinking terus sih tadi pagi sendiri,anxious,0.94
8211,marah banget karena kerjaan berantakan sih tadi pagi sama temen kantor,angry,0.71
8212,ngerasa sendirian akhir akhir ini sumpah bareng temen sama keluarga,sad,0.84
8213,aku cuma pengen istirahat sebentar sih sama dia,sad,0.61
8214,deg degan nunggu hasil pengumuman banget asli di rumah sama dia,anxious,0.8
8215,akhirnya lolos interview kerja banget sama keluarga,happy,0.25
8216,akhirnya tugas selesai juga lega banget dari tadi kepikiran bareng temen,happy,0.12
8217,cuaca hari ini lumayan panas serius di kampus sendiri,neutral,0.44
8218,sekarang lagi nonton youtube jujur aja waktu malam sama temen kantor,neutral,0.34
8219,udah sabar tapi masih dibohongin banget,angry,0.91
8220,kesal banget hari ini hari ini di rumah sendiri,angry,0.89
8221,khawatir sama kondisi sekarang sih tadi pagi sendiri,anxious,0.84
8222,senyum sendiri pas inget kejadian tadi padahal udah coba santai sendiri,happy,0.07
8223,kecewa banget sama hasilnya wkwk waktu malam sama keluarga,sad,0.71
8224,hari ini produktif dan mood bagus padahal udah coba santai di kantor sama dia,happy,0.29
8225,makan favorit hari ini bikin bahagia banget asli sama temen kantor,happy,0.25
8226,hari ini ga ada hal spesial hari ini tadi pagi sendiri,neutral,0.26
8227,akhirnya lolos interview kerja sih sama keluarga,happy,0.14
8228,udah sabar tapi masih dibohongin tapi yaudahlah bareng temen sama keluarga,angry,0.91
8229,masih susah move on dari kejadian itu dan kepikiran terus di kantor sama dia,sad,0.65
8230,udah sabar tapi masih dibohongin agak random sih waktu malam sama keluarga,angry,0.78
8231,lagi duduk sambil denger musik tapi yaudahlah tadi pagi,neutral,0.29
8232,lagi duduk sambil denger musik dan kepikiran terus di kantor,neutral,0.39
8233,hari ini ga ada hal spesial sumpah di rumah sama dia,neutral,0.26
8234,tadi pagi pergi sebentar ke minimarket tapi yaudahlah sama keluarga,neutral,0.23
8235,masih susah move on dari kejadian itu banget asli di kampus sama dia,sad,0.81
8236,hari ini produktif dan mood bagus banget asli bareng temen sama temen kantor,happy,0.27
8237,baru selesai makan siang tadi jujur aja di kantor,neutral,0.45
8238,akhir akhir ini overthinking terus banget asli di rumah sendiri,anxious,0.75
8239,geram banget sama pelayanan tadi hari ini di kampus sendiri,angry,0.71
8240,aku cuma pengen istirahat sebentar dan kepikiran terus waktu malam sendiri,sad,0.73
8241,kehilangan semangat buat ngapa ngapain banget di rumah,sad,0.67
8242,capek ngadepin orang yang egois wkwk pas perjalanan sama dia,angry,0.93
8243,kesel banget sama orang yang ga tepat waktu agak random sih di kantor,angry,0.78
8244,lagi duduk sambil denger musik jujur aja di kampus sendiri,neutral,0.36
8245,akhir minggu ini seru banget serius di kampus sama dia,happy,0.29
8246,cemas mikirin masa depan tadi pagi sama dia,anxious,0.76
8247,udah sabar tapi masih dibohongin padahal udah coba santai waktu malam sama temen kantor,angry,0.79
8248,makan favorit hari ini bikin bahagia wkwk waktu malam sama temen kantor,happy,0.13
8249,tadi pagi pergi sebentar ke minimarket wkwk bareng temen sama dia,neutral,0.27
8250,dapat kabar baik dari keluarga tadi pagi banget asli di rumah sama dia,happy,0.18
8251,makasih ya udah bikin hariku lebih baik wkwk tadi pagi sendiri,happy,0.14
8252,orang itu bikin emosi banget serius di kampus sama temen kantor,angry,0.94
8253,makan favorit hari ini bikin bahagia dan kepikiran terus di rumah sama dia,happy,0.1
8254,anxious banget sebelum meeting tadi sumpah bareng temen sendiri,anxious,0.92
8255,udah sabar tapi masih dibohongin dari tadi kepikiran tadi pagi sama dia,angry,0.73
8256,takut kalau hasilnya jelek sih di kampus,anxious,0.82
8257,masih susah move on dari kejadian itu sih di kampus,sad,0.6
8258,masih susah move on dari kejadian itu banget asli di rumah,sad,0.76
8259,cemas mikirin masa depan wkwk di kampus,anxious,0.89
8260,tadi pagi pergi sebentar ke minimarket agak random sih di kantor sendiri,neutral,0.43
8261,khawatir sama kondisi sekarang sumpah sama dia,anxious,0.81
8262,rasanya sedih banget akhir akhir ini wkwk pas perjalanan sama dia,sad,0.74
8263,rasanya gugup terus hari ini hari ini pas perjalanan sama temen kantor,anxious,0.76
8264,baru selesai makan siang tadi wkwk di kantor sama temen kantor,neutral,0.23
8265,lagi duduk sambil denger musik jujur aja bareng temen sama keluarga,neutral,0.44
8266,cuaca hari ini lumayan panas sih di rumah sama keluarga,neutral,0.42
8267,makasih ya udah bikin hariku lebih baik serius tadi pagi sama dia,happy,0.25
8268,baru selesai makan siang tadi banget asli di kantor sendiri,neutral,0.37
8269,kehilangan semangat buat ngapa ngapain padahal udah coba santai sama temen kantor,sad,0.6
8270,marah banget karena kerjaan berantakan agak random sih sama keluarga,angry,0.91
8271,akhir minggu ini seru banget padahal udah coba santai di rumah sama temen kantor,happy,0.17
8272,seneng banget hari ini ketemu temen lama banget tadi pagi sama keluarga,happy,0.19
8273,lagi baca berita sambil santai agak random sih waktu malam sendiri,neutral,0.3
8274,besok ada jadwal meeting rutin tapi yaudahlah bareng temen sama dia,neutral,0.21
8275,udah sabar tapi masih dibohongin waktu malam sama dia,angry,0.9
8276,anxious banget sebelum meeting tadi dari tadi kepikiran,anxious,0.81
8277,emosi lihat komentar orang tadi agak random sih bareng temen sama keluarga,angry,0.69
8278,kenapa sih harus bikin masalah terus padahal udah coba santai di kantor,angry,0.85
8279,aku cuma pengen istirahat sebentar dari tadi kepikiran di rumah sama keluarga,sad,0.8
8280,emosi lihat komentar orang tadi sih di kampus sama keluarga,angry,0.68
8281,capek sama keadaan sekarang wkwk di rumah sama temen kantor,sad,0.73
8282,kenapa sih harus bikin masalah terus jujur aja tadi pagi sama dia,angry,0.93
8283,orang itu bikin emosi banget wkwk di kampus sama keluarga,angry,0.91
8284,emosi lihat komentar orang tadi pas perjalanan sama dia,angry,0.72
8285,takut kalau hasilnya jelek jujur aja sama temen kantor,anxious,0.97
8286,emosi lihat komentar orang tadi banget di kantor sama temen kantor,angry,0.73
8287,akhir akhir ini overthinking terus banget waktu malam sama dia,anxious,0.94
8288,capek sama keadaan sekarang tapi yaudahlah bareng temen sama temen kantor,sad,0.77
8289,dapat kabar baik dari keluarga tadi pagi wkwk di rumah sama dia,happy,0.24
8290,orang itu bikin emosi banget hari ini waktu malam sendiri,angry,0.87
8291,kecewa banget sama hasilnya padahal udah coba santai di rumah sama temen kantor,sad,0.8
8292,deg degan nunggu hasil pengumuman serius di kantor,anxious,0.91
8293,marah banget karena kerjaan berantakan banget asli di kantor sama keluarga,angry,0.67
8294,kehilangan semangat buat ngapa ngapain jujur aja bareng temen sama keluarga,sad,0.57
8295,akhir minggu ini seru banget sumpah bareng temen sama dia,happy,0.17
8296,rasanya gugup terus hari ini banget asli di kantor sama keluarga,anxious,0.92
8297,kepikiran banyak hal sampai susah tidur sumpah di rumah sama keluarga,anxious,0.73
8298,geram banget sama pelayanan tadi sumpah di rumah sama keluarga,angry,0.82
8299,makan favorit hari ini bikin bahagia jujur aja bareng temen sama temen kantor,happy,0.14
8300,lagi baca berita sambil santai banget asli di kampus sama temen kantor,neutral,0.22
8301,masih susah move on dari kejadian itu banget asli pas perjalanan,sad,0.84
8302,kehilangan semangat buat ngapa ngapain jujur aja di kantor sama dia,sad,0.65
8303,senyum sendiri pas inget kejadian tadi jujur aja bareng temen,happy,0.07
8304,masih susah move on dari kejadian itu hari ini bareng temen sendiri,sad,0.85
8305,malam ini kepikiran terus jadi sedih dan kepikiran terus waktu malam sama dia,sad,0.71
8306,sekarang lagi nonton youtube banget asli di kampus sendiri,neutral,0.26
8307,deg degan nunggu hasil pengumuman padahal udah coba santai di kantor sama keluarga,anxious,0.89
8308,kepikiran banyak hal sampai susah tidur sumpah pas perjalanan sama dia,anxious,0.83
8309,akhirnya lolos interview kerja tapi yaudahlah bareng temen sama temen kantor,happy,0.26
8310,capek sama keadaan sekarang sih pas perjalanan sendiri,sad,0.72
8311,aku cuma pengen istirahat sebentar agak random sih tadi pagi sama dia,sad,0.67
8312,rasanya pengen marah terus hari ini di kantor sama keluarga,angry,0.66
8313,takut gagal di presentasi besok pas perjalanan,anxious,0.81
8314,kecewa banget sama hasilnya banget waktu malam sama keluarga,sad,0.63
8315,makan favorit hari ini bikin bahagia hari ini pas perjalanan sama dia,happy,0.12
8316,aku cuma pengen istirahat sebentar padahal udah coba santai waktu malam sendiri,sad,0.79
8317,lagi duduk sambil denger musik banget asli bareng temen sama temen kantor,neutral,0.42
8318,hari ini berat banget dijalanin hari ini di rumah sama dia,sad,0.57
8319,malam ini kepikiran terus jadi sedih padahal udah coba santai bareng temen,sad,0.56
8320,akhirnya tugas selesai juga lega banget serius di kampus sendiri,happy,0.12
8321,cuaca hari ini lumayan panas dan kepikiran terus tadi pagi sama keluarga,neutral,0.42
8322,kenapa sih harus bikin masalah terus serius di kampus sendiri,angry,0.86
8323,lagi baca berita sambil santai sumpah tadi pagi sama keluarga,neutral,0.27
8324,makasih ya udah bikin hariku lebih baik serius di kantor,happy,0.29
8325,capek sama keadaan sekarang sumpah di kampus,sad,0.56
8326,khawatir sama kondisi sekarang sama keluarga,anxious,0.73
8327,habis beresin kamar dan lanjut kerja wkwk di kantor sama dia,neutral,0.44
8328,ngerasa sendirian akhir akhir ini dari tadi kepikiran pas perjalanan sama keluarga,sad,0.75
8329,kehilangan semangat buat ngapa ngapain wkwk waktu malam sendiri,sad,0.65
8330,tadi pagi pergi sebentar ke minimarket serius di kampus sama keluarga,neutral,0.28
8331,besok ada jadwal meeting rutin jujur aja waktu malam sendiri,neutral,0.4
8332,hari ini biasa aja seperti biasanya di kantor sama dia,neutral,0.23
8333,sekarang lagi nonton youtube wkwk di rumah sendiri,neutral,0.24
8334,hari ini ga ada hal spesial serius tadi pagi sama dia,neutral,0.41
8335,khawatir sama kondisi sekarang dan kepikiran terus pas perjalanan sendiri,anxious,0.74
8336,seneng banget hari ini ketemu temen lama banget asli di kampus sama dia,happy,0.22
8337,kepikiran banyak hal sampai susah tidur serius pas perjalanan sama dia,anxious,0.94
8338,cuaca hari ini lumayan panas banget di kantor sama keluarga,neutral,0.35
8339,rasanya gugup terus hari ini dari tadi kepikiran di kampus,anxious,0.79
8340,besok ada jadwal meeting rutin hari ini sendiri,neutral,0.39
8341,makan favorit hari ini bikin bahagia dari tadi kepikiran,happy,0.21
8342,cuaca hari ini lumayan panas banget asli sama keluarga,neutral,0.41
8343,anxious banget sebelum meeting tadi hari ini di kantor,anxious,0.9
8344,hari ini ga ada hal spesial hari ini bareng temen,neutral,0.21
8345,makasih ya udah bikin hariku lebih baik di kampus sama temen kantor,happy,0.21
8346,anxious banget sebelum meeting tadi jujur aja di kampus sama temen kantor,anxious,0.78
8347,senyum sendiri pas inget kejadian tadi tapi yaudahlah sama keluarga,happy,0.18
8348,tadi pagi pergi sebentar ke minimarket sih di kampus sama temen kantor,neutral,0.4
8349,besok ada jadwal meeting rutin dan kepikiran terus bareng temen sama dia,neutral,0.43
8350,seneng banget hari ini ketemu temen lama serius di rumah sendiri,happy,0.07
8351,kenapa sih harus bikin masalah terus dari tadi kepikiran di rumah,angry,0.74
8352,hari ini berat banget dijalanin tapi yaudahlah di kampus sama dia,sad,0.69
8353,lagi baca berita sambil santai wkwk sama dia,neutral,0.2
8354,kesal banget hari ini dari tadi kepikiran waktu malam,angry,0.93
8355,bingung dan takut ambil keputusan serius bareng temen,anxious,0.76
8356,rasanya sedih banget akhir akhir ini banget waktu malam sama keluarga,sad,0.84
8357,rasanya pengen marah terus banget asli waktu malam sendiri,angry,0.86
8358,akhirnya tugas selesai juga lega banget sumpah tadi pagi sama temen kantor,happy,0.25
8359,kenapa sih harus bikin masalah terus serius bareng temen sama dia,angry,0.73
8360,akhirnya tugas selesai juga lega banget banget di kantor sama keluarga,happy,0.12
8361,khawatir sama kondisi sekarang wkwk di kampus sama temen kantor,anxious,0.98
8362,sekarang lagi nonton youtube jujur aja di rumah sama keluarga,neutral,0.22
8363,capek sama keadaan sekarang sumpah di kantor sama temen kantor,sad,0.71
8364,rasanya kosong aja hari ini sih tadi pagi sendiri,sad,0.76
8365,senyum sendiri pas inget kejadian tadi sama keluarga,happy,0.29
8366,kesel banget sama orang yang ga tepat waktu padahal udah coba santai sama dia,angry,0.9
8367,dapat kabar baik dari keluarga tadi pagi tapi yaudahlah sama keluarga,happy,0.1
8368,kecewa banget sama hasilnya sih di kampus sama temen kantor,sad,0.66
8369,malam ini kepikiran terus jadi sedih banget tadi pagi,sad,0.77
8370,orang itu bikin emosi banget banget tadi pagi,angry,0.75
8371,besok ada jadwal meeting rutin dari tadi kepikiran di rumah sama dia,neutral,0.22
8372,makan favorit hari ini bikin bahagia tapi yaudahlah tadi pagi sendiri,happy,0.06
8373,cemas mikirin masa depan sih,anxious,0.97
8374,masih susah move on dari kejadian itu tapi yaudahlah sama keluarga,sad,0.83
8375,hari ini ga ada hal spesial serius sama dia,neutral,0.26
8376,hari ini ga ada hal spesial tapi yaudahlah bareng temen sendiri,neutral,0.34
8377,hari ini produktif dan mood bagus sih di kampus,happy,0.26
8378,lagi duduk sambil denger musik jujur aja tadi pagi sama dia,neutral,0.43
8379,hari ini produktif dan mood bagus padahal udah coba santai waktu malam sama temen kantor,happy,0.11
8380,kecewa banget sama hasilnya agak random sih tadi pagi sama keluarga,sad,0.6
8381,akhirnya lolos interview kerja banget di kampus sama dia,happy,0.05
8382,makan favorit hari ini bikin bahagia serius di kampus sama dia,happy,0.09
8383,sekarang lagi nonton youtube tapi yaudahlah sama temen kantor,neutral,0.38
8384,takut kalau hasilnya jelek banget asli waktu malam sama keluarga,anxious,0.98
8385,masih susah move on dari kejadian itu jujur aja di rumah sendiri,sad,0.68
8386,sekarang lagi nonton youtube banget waktu malam sendiri,neutral,0.36
8387,deg degan nunggu hasil pengumuman banget asli sama keluarga,anxious,0.81
8388,senyum sendiri pas inget kejadian tadi padahal udah coba santai tadi pagi,happy,0.22
8389,rasanya kosong aja hari ini agak random sih bareng temen sama temen kantor,sad,0.69
8390,hari ini ga ada hal spesial wkwk waktu malam sama dia,neutral,0.4
8391,marah banget karena kerjaan berantakan dan kepikiran terus sendiri,angry,0.85
8392,akhirnya lolos interview kerja hari ini di kantor sendiri,happy,0.22
8393,makasih ya udah bikin hariku lebih baik dari tadi kepikiran sama dia,happy,0.27
8394,kepikiran banyak hal sampai susah tidur banget asli waktu malam sendiri,anxious,0.93
8395,dapat kabar baik dari keluarga tadi pagi serius pas perjalanan sama dia,happy,0.26
8396,kenapa sih harus bikin masalah terus agak random sih waktu malam,angry,0.9
8397,cemas mikirin masa depan tapi yaudahlah pas perjalanan sama keluarga,anxious,0.84
8398,cemas mikirin masa depan agak random sih tadi pagi sendiri,anxious,0.93
8399,sekarang lagi nonton youtube wkwk di kantor,neutral,0.2
8400,lagi duduk sambil denger musik wkwk bareng temen sama keluarga,neutral,0.43
8401,khawatir sama kondisi sekarang hari ini waktu malam,anxious,0.83
8402,takut gagal di presentasi besok wkwk di kantor sendiri,anxious,0.86
8403,cemas mikirin masa depan hari ini waktu malam sendiri,anxious,0.87
8404,bingung dan takut ambil keputusan hari ini bareng temen,anxious,0.96
8405,kepikiran banyak hal sampai susah tidur sumpah waktu malam sama keluarga,anxious,0.76
8406,hari ini produktif dan mood bagus banget sama temen kantor,happy,0.08
8407,rasanya sedih banget akhir akhir ini agak random sih bareng temen sama dia,sad,0.72
8408,cuaca hari ini lumayan panas serius bareng temen,neutral,0.31
8409,capek sih tapi puas hasilnya bagus sih bareng temen,happy,0.3
8410,takut gagal di presentasi besok banget asli tadi pagi sendiri,anxious,0.87
8411,capek sama keadaan sekarang dari tadi kepikiran di rumah sama dia,sad,0.73
8412,rasanya gugup terus hari ini tapi yaudahlah bareng temen sama keluarga,anxious,0.75
8413,kehilangan semangat buat ngapa ngapain tapi yaudahlah di rumah sama keluarga,sad,0.67
8414,hari ini ga ada hal spesial dan kepikiran terus pas perjalanan sama keluarga,neutral,0.36
8415,ngerasa sendirian akhir akhir ini sumpah pas perjalanan,sad,0.58
8416,rasanya gugup terus hari ini tapi yaudahlah di rumah sama temen kantor,anxious,0.96
8417,baru selesai makan siang tadi agak random sih pas perjalanan sama temen kantor,neutral,0.27
8418,akhir akhir ini overthinking terus tapi yaudahlah waktu malam sama keluarga,anxious,0.89
8419,capek sama keadaan sekarang hari ini waktu malam sama keluarga,sad,0.58
8420,hari ini ga ada hal spesial serius di kampus sendiri,neutral,0.3
8421,akhir akhir ini overthinking terus banget asli waktu malam sama keluarga,anxious,0.71
8422,geram banget sama pelayanan tadi dari tadi kepikiran di rumah sendiri,angry,0.93
8423,capek sih tapi puas hasilnya bagus di kampus sama temen kantor,happy,0.06
8424,akhirnya tugas selesai juga lega banget wkwk di kantor,happy,0.1
8425,kesal banget hari ini jujur aja waktu malam sama keluarga,angry,0.68
8426,rasanya sedih banget akhir akhir ini agak random sih di kampus sendiri,sad,0.61
8427,habis beresin kamar dan lanjut kerja pas perjalanan sendiri,neutral,0.34
8428,aku cuma pengen istirahat sebentar serius pas perjalanan sama dia,sad,0.63
8429,kenapa sih harus bikin masalah terus dan kepikiran terus sendiri,angry,0.79
8430,capek sih tapi puas hasilnya bagus banget asli sendiri,happy,0.1
8431,kesel banget sama orang yang ga tepat waktu dan kepikiran terus bareng temen sendiri,angry,0.93
8432,cemas mikirin masa depan hari ini di kantor sama temen kantor,anxious,0.94
8433,makan favorit hari ini bikin bahagia serius di kantor sama keluarga,happy,0.28
8434,masih susah move on dari kejadian itu banget di rumah sama keluarga,sad,0.57
8435,kehilangan semangat buat ngapa ngapain sih waktu malam sama temen kantor,sad,0.61
8436,geram banget sama pelayanan tadi agak random sih di kampus sama dia,angry,0.9
8437,habis beresin kamar dan lanjut kerja padahal udah coba santai waktu malam sama dia,neutral,0.31
8438,bingung dan takut ambil keputusan dan kepikiran terus pas perjalanan sama dia,anxious,0.85
8439,kesel banget sama orang yang ga tepat waktu sih di rumah sama keluarga,angry,0.92
8440,seneng banget hari ini ketemu temen lama agak random sih bareng temen,happy,0.08
8441,akhirnya tugas selesai juga lega banget padahal udah coba santai tadi pagi sama keluarga,happy,0.07
8442,anxious banget sebelum meeting tadi sih di kampus sendiri,anxious,0.72
8443,kepikiran banyak hal sampai susah tidur padahal udah coba santai pas perjalanan,anxious,0.91
8444,rasanya gugup terus hari ini sumpah di rumah sama dia,anxious,0.9
8445,lagi duduk sambil denger musik banget asli di rumah sama dia,neutral,0.44
8446,rasanya pengen marah terus banget asli tadi pagi sama dia,angry,0.71
8447,hari ini produktif dan mood bagus sumpah tadi pagi sama dia,happy,0.28
8448,rasanya sedih banget akhir akhir ini dan kepikiran terus pas perjalanan,sad,0.71
8449,kehilangan semangat buat ngapa ngapain padahal udah coba santai di rumah sama keluarga,sad,0.59
8450,kecewa banget sama hasilnya banget di kantor sama keluarga,sad,0.55
8451,marah banget karena kerjaan berantakan sih sama keluarga,angry,0.71
8452,capek sama keadaan sekarang banget di rumah sendiri,sad,0.7
8453,orang itu bikin emosi banget banget tadi pagi sendiri,angry,0.88
8454,emosi lihat komentar orang tadi tapi yaudahlah di rumah sama keluarga,angry,0.86
8455,makan favorit hari ini bikin bahagia dan kepikiran terus waktu malam sendiri,happy,0.19
8456,senyum sendiri pas inget kejadian tadi dan kepikiran terus di rumah,happy,0.19
8457,bingung dan takut ambil keputusan padahal udah coba santai tadi pagi sama dia,anxious,0.92
8458,khawatir sama kondisi sekarang sumpah di rumah sama temen kantor,anxious,0.76
8459,deg degan nunggu hasil pengumuman,anxious,0.88
8460,baru selesai makan siang tadi agak random sih tadi pagi,neutral,0.42
8461,lagi duduk sambil denger musik dan kepikiran terus di rumah,neutral,0.33
8462,rasanya kosong aja hari ini tapi yaudahlah di rumah sama dia,sad,0.85
8463,senyum sendiri pas inget kejadian tadi agak random sih waktu malam sama temen kantor,happy,0.29
8464,habis beresin kamar dan lanjut kerja sih di rumah sama keluarga,neutral,0.32
8465,marah banget karena kerjaan berantakan serius waktu malam sama temen kantor,angry,0.7
8466,besok ada jadwal meeting rutin banget di rumah sama temen kantor,neutral,0.28
8467,baru selesai makan siang tadi banget waktu malam sama temen kantor,neutral,0.36
8468,ngerasa sendirian akhir akhir ini dan kepikiran terus di rumah sama temen kantor,sad,0.76
8469,lagi baca berita sambil santai sumpah bareng temen sama temen kantor,neutral,0.28
8470,khawatir sama kondisi sekarang jujur aja tadi pagi sama keluarga,anxious,0.77
8471,geram banget sama pelayanan tadi dari tadi kepikiran pas perjalanan,angry,0.92
8472,lagi duduk sambil denger musik jujur aja sendiri,neutral,0.2
8473,khawatir sama kondisi sekarang pas perjalanan sama keluarga,anxious,0.95
8474,kecewa banget sama hasilnya dan kepikiran terus pas perjalanan sendiri,sad,0.76
8475,hari ini biasa aja seperti biasanya jujur aja di kantor sama keluarga,neutral,0.39
8476,makasih ya udah bikin hariku lebih baik padahal udah coba santai di rumah sama temen kantor,happy,0.24
8477,masih susah move on dari kejadian itu banget waktu malam sama temen kantor,sad,0.61
8478,hari ini biasa aja seperti biasanya padahal udah coba santai di rumah sama dia,neutral,0.25
8479,rasanya pengen marah terus padahal udah coba santai waktu malam sama temen kantor,angry,0.74
8480,cuaca hari ini lumayan panas sumpah di kantor sama keluarga,neutral,0.34
8481,cemas mikirin masa depan agak random sih tadi pagi sama keluarga,anxious,0.84
8482,capek sih tapi puas hasilnya bagus hari ini tadi pagi sama temen kantor,happy,0.26
8483,capek sih tapi puas hasilnya bagus banget asli tadi pagi,happy,0.28
8484,sekarang lagi nonton youtube sumpah waktu malam sama keluarga,neutral,0.23
8485,akhirnya tugas selesai juga lega banget pas perjalanan sama keluarga,happy,0.23
8486,takut gagal di presentasi besok dan kepikiran terus pas perjalanan sama keluarga,anxious,0.84
8487,lagi duduk sambil denger musik tapi yaudahlah di kantor,neutral,0.21
8488,hari ini ga ada hal spesial wkwk di kantor,neutral,0.29
8489,kehilangan semangat buat ngapa ngapain sih pas perjalanan,sad,0.57
8490,deg degan nunggu hasil pengumuman banget asli di kampus sama temen kantor,anxious,0.97
8491,makan favorit hari ini bikin bahagia hari ini waktu malam sama temen kantor,happy,0.23
8492,cemas mikirin masa depan di rumah sama dia,anxious,0.77
8493,hari ini produktif dan mood bagus agak random sih di kampus sama dia,happy,0.27
8494,marah banget karena kerjaan berantakan tapi yaudahlah tadi pagi sama dia,angry,0.78
8495,kecewa banget sama hasilnya sih sama dia,sad,0.76
8496,masih susah move on dari kejadian itu tapi yaudahlah di kampus sendiri,sad,0.68
8497,bingung dan takut ambil keputusan sih pas perjalanan sendiri,anxious,0.76
8498,takut kalau hasilnya jelek sih bareng temen,anxious,0.79
8499,akhirnya tugas selesai juga lega banget sih waktu malam sendiri,happy,0.06
8500,kecewa banget sama hasilnya jujur aja di rumah,sad,0.72
8501,masih susah move on dari kejadian itu sih waktu malam sendiri,sad,0.6
8502,hari ini produktif dan mood bagus di kampus sama dia,happy,0.25
8503,rasanya kosong aja hari ini dari tadi kepikiran bareng temen sama keluarga,sad,0.66
8504,hari ini biasa aja seperti biasanya dari tadi kepikiran di kampus sama keluarga,neutral,0.3
8505,akhir minggu ini seru banget hari ini tadi pagi sama keluarga,happy,0.07
8506,cemas mikirin masa depan agak random sih waktu malam sama temen kantor,anxious,0.78
8507,capek ngadepin orang yang egois sumpah di rumah sama keluarga,angry,0.65
8508,makasih ya udah bikin hariku lebih baik padahal udah coba santai tadi pagi sama temen kantor,happy,0.08
8509,baru selesai makan siang tadi hari ini di rumah sama dia,neutral,0.38
8510,rasanya gugup terus hari ini banget di rumah sama keluarga,anxious,0.77
8511,capek ngadepin orang yang egois padahal udah coba santai bareng temen,angry,0.73
8512,besok ada jadwal meeting rutin di rumah sendiri,neutral,0.24
8513,deg degan nunggu hasil pengumuman serius waktu malam sama dia,anxious,0.72
8514,kesal banget hari ini wkwk di rumah sama temen kantor,angry,0.87
8515,capek ngadepin orang yang egois di kantor,angry,0.75
8516,takut gagal di presentasi besok jujur aja tadi pagi sendiri,anxious,0.7
8517,capek sama keadaan sekarang serius bareng temen sama temen kantor,sad,0.71
8518,cemas mikirin masa depan padahal udah coba santai di kampus sama dia,anxious,0.89
8519,aku cuma pengen istirahat sebentar serius waktu malam,sad,0.69
8520,makasih ya udah bikin hariku lebih baik banget di kantor sama keluarga,happy,0.25
8521,khawatir sama kondisi sekarang agak random sih tadi pagi sendiri,anxious,0.82
8522,khawatir sama kondisi sekarang hari ini di kampus sama dia,anxious,0.79
8523,hari ini ga ada hal spesial wkwk di kampus,neutral,0.44
8524,takut kalau hasilnya jelek wkwk tadi pagi sama temen kantor,anxious,0.82
8525,rasanya kosong aja hari ini agak random sih di kantor sama keluarga,sad,0.6
8526,marah banget karena kerjaan berantakan hari ini bareng temen sama dia,angry,0.91
8527,hari ini berat banget dijalanin sumpah tadi pagi,sad,0.75
8528,malam ini kepikiran terus jadi sedih sih tadi pagi sama temen kantor,sad,0.63
8529,kenapa sih harus bikin masalah terus sih,angry,0.74
8530,ngerasa sendirian akhir akhir ini jujur aja tadi pagi sama temen kantor,sad,0.75
